Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated,MoR
1,How the Grinch Stole Christmas,-,-,-,251628705,3256,"$260,044,825","['Nov', '17']",Universal Pictures,False,11
2,Mission: Impossible II,-,-,-,215409889,3669,"$215,409,889","['May', '24']",Paramount Pictures,False,5
3,Gladiator,-,-,-,186610052,3188,"$187,705,427","['May', '5']",DreamWorks Distribution,False,5
4,The Perfect Storm,-,-,-,182618434,3407,"$182,618,434","['Jun', '30']",Warner Bros.,False,6
5,Meet the Parents,-,-,-,161146255,2697,"$166,244,045","['Oct', '6']",Universal Pictures,False,10
6,X-Men,-,-,-,157299718,3112,"$157,299,718","['Jul', '14']",Twentieth Century Fox,False,7
7,Scary Movie,-,-,-,157019771,3301,"$157,019,771","['Jul', '7']",Miramax,False,7
8,What Lies Beneath,-,-,-,155359812,2925,"$155,464,351","['Jul', '21']",DreamWorks Distribution,False,7
9,Dinosaur,-,-,-,137748063,3319,"$137,748,063","['May', '19']",Walt Disney Studios Motion Pictures,False,5
10,Erin Brockovich,-,-,-,125595205,3070,"$125,595,205","['Mar', '17']",Universal Pictures,False,3
11,Nutty Professor II: The Klumps,-,-,-,123305415,3251,"$123,309,890","['Jul', '28']",Universal Pictures,False,7
12,Charlie's Angels,-,-,-,122693797,3037,"$125,305,545","['Nov', '3']",Sony Pictures Entertainment (SPE),False,11
13,Big Momma's House,-,-,-,117559438,2854,"$117,559,438","['Jun', '2']",Twentieth Century Fox,False,6
14,Remember the Titans,-,-,-,113546621,2803,"$115,654,751","['Sep', '29']",Walt Disney Studios Motion Pictures,False,9
15,The Patriot,-,-,-,113330342,3061,"$113,330,342","['Jun', '28']",Sony Pictures Entertainment (SPE),False,6
16,What Women Want,-,-,-,110187917,3092,"$182,811,707","['Dec', '15']",Paramount Pictures,False,12
17,Chicken Run,-,-,-,106834564,2953,"$106,834,564","['Jun', '23']",DreamWorks Distribution,False,6
18,Gone in 60 Seconds,-,-,-,101648571,3089,"$101,648,571","['Jun', '9']",Walt Disney Studios Motion Pictures,False,6
