Rank,Release,Genre,Budgets,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated,MoR,Budgets
1,How the Grinch Stole Christmas,-,123,-,251.628705,3256,"$260,044,825 ","['Nov', '17']",Universal Pictures,FALSE,11,123
2,Mission: Impossible II,-,125,-,215.409889,3669,"$215,409,889 ","['May', '24']",Paramount Pictures,FALSE,5,125
3,Gladiator,-,103,-,186.610052,3188,"$187,705,427 ","['May', '5']",DreamWorks Distribution,FALSE,5,103
4,The Perfect Storm,-,120,-,182.618434,3407,"$182,618,434 ","['Jun', '30']",Warner Bros.,FALSE,6,120
5,Meet the Parents,-,55,-,161.146255,2697,"$166,244,045 ","['Oct', '6']",Universal Pictures,FALSE,10,55
6,X-Men,-,75,-,157.299718,3112,"$157,299,718 ","['Jul', '14']",Twentieth Century Fox,FALSE,7,75
7,Scary Movie,-,19,-,157.019771,3301,"$157,019,771 ","['Jul', '7']",Miramax,FALSE,7,19
8,What Lies Beneath,-,1,-,155.359812,2925,"$155,464,351 ","['Jul', '21']",DreamWorks Distribution,FALSE,7,1
9,Dinosaur,-,1,-,137.748063,3319,"$137,748,063 ","['May', '19']",Walt Disney Studios Motion Pictures,FALSE,5,1
10,Erin Brockovich,-,1,-,125.595205,3070,"$125,595,205 ","['Mar', '17']",Universal Pictures,FALSE,3,1
11,Nutty Professor II: The Klumps,-,84,-,123.305415,3251,"$123,309,890 ","['Jul', '28']",Universal Pictures,FALSE,7,84
12,Charlie's Angels,-,1,-,122.693797,3037,"$125,305,545 ","['Nov', '3']",Sony Pictures Entertainment (SPE),FALSE,11,1
13,Big Momma's House,-,30,-,117.559438,2854,"$117,559,438 ","['Jun', '2']",Twentieth Century Fox,FALSE,6,30
14,Remember the Titans,-,30,-,113.546621,2803,"$115,654,751 ","['Sep', '29']",Walt Disney Studios Motion Pictures,FALSE,9,30
15,The Patriot,-,110,-,113.330342,3061,"$113,330,342 ","['Jun', '28']",Sony Pictures Entertainment (SPE),FALSE,6,110
16,What Women Want,-,1,-,110.187917,3092,"$182,811,707 ","['Dec', '15']",Paramount Pictures,FALSE,12,1
17,Chicken Run,-,1,-,106.834564,2953,"$106,834,564 ","['Jun', '23']",DreamWorks Distribution,FALSE,6,1
18,Gone in 60 Seconds,-,90,-,101.648571,3089,"$101,648,571 ","['Jun', '9']",Walt Disney Studios Motion Pictures,FALSE,6,90
19,Cast Away,-,90,-,100.628725,3061,"$233,632,142 ","['Dec', '22']",Twentieth Century Fox,FALSE,12,90
20,"Me, Myself & Irene",-,51,-,90.570999,3087,"$90,570,999 ","['Jun', '23']",Twentieth Century Fox,FALSE,6,51
21,Space Cowboys,-,65,-,90.107204,2835,"$90,464,773 ","['Aug', '4']",Warner Bros.,FALSE,8,65
22,Scream 3,-,40,-,89.143175,3467,"$89,143,175 ","['Feb', '4']",Dimension Films,FALSE,2,40
23,Unbreakable,-,75,-,88.304876,2708,"$95,011,339 ","['Nov', '22']",Walt Disney Studios Motion Pictures,FALSE,11,75
24,U-571,-,62,-,77.122415,2820,"$77,122,415 ","['Apr', '21']",Universal Pictures,FALSE,4,62
25,Hollow Man,-,95,-,73.20934,2956,"$73,209,340 ","['Aug', '4']",Sony Pictures Entertainment (SPE),FALSE,8,95
26,Stuart Little,-,103,-,72.70124,3151,"$140,035,367 ","['Dec', '17']",Sony Pictures Entertainment (SPE),FALSE,12,103
27,Shaft,-,46,-,70.334258,2433,"$70,334,258 ","['Jun', '16']",Paramount Pictures,FALSE,6,500
28,The Green Mile,-,60,-,69.83936,2875,"$136,801,374 ","['Dec', '10']",Warner Bros.,FALSE,12,60
29,The Kid,-,1,-,69.691949,2343,"$69,691,949 ","['Jul', '7']",Walt Disney Studios Motion Pictures,FALSE,7,1
30,Rugrats in Paris,-,30,-,68.941692,2937,"$76,507,756 ","['Nov', '17']",Paramount Pictures,FALSE,11,30
31,Road Trip,-,1,-,68.540777,2654,"$68,540,777 ","['May', '19']",DreamWorks Distribution,FALSE,5,1
32,Bring It On,-,1,-,68.33759,2466,"$68,379,000 ","['Aug', '25']",Universal Pictures,FALSE,8,1
33,Rules of Engagement,-,1,-,61.33523,3220,"$61,335,230 ","['Apr', '7']",Paramount Pictures,FALSE,4,1
34,The Cell,-,1,-,61.334059,2476,"$61,334,059 ","['Aug', '18']",New Line Cinema,FALSE,8,1
35,Mission to Mars,-,1,-,60.883407,3101,"$60,883,407 ","['Mar', '10']",Walt Disney Studios Motion Pictures,FALSE,3,1
36,Coyote Ugly,-,45,-,60.786269,2664,"$60,786,269 ","['Aug', '4']",Walt Disney Studios Motion Pictures,FALSE,8,45
37,Snow Day,-,1,-,60.020107,2717,"$60,020,107 ","['Feb', '11']",Paramount Pictures,FALSE,2,1
38,Fantasia 2000,-,80,-,59.80939,1313,"$60,655,420 ","['Jan', '1']",Walt Disney Studios Motion Pictures,FALSE,1,80
39,American Beauty,-,15,-,59.267786,1990,"$130,096,601 ","['Sep', '15']",DreamWorks Distribution,FALSE,9,15
40,Next Friday,-,1,-,57.328603,1420,"$57,328,603 ","['Jan', '12']",New Line Cinema,FALSE,1,1
41,The Whole Nine Yards,-,1,-,57.262492,2910,"$57,262,492 ","['Feb', '18']",Warner Bros.,FALSE,2,1
42,Shanghai Noon,-,55,-,56.937502,2751,"$56,937,502 ","['May', '26']",Walt Disney Studios Motion Pictures,FALSE,5,55
43,Romeo Must Die,-,25,-,55.973336,2641,"$55,973,336 ","['Mar', '22']",Warner Bros.,FALSE,3,25
44,102 Dalmatians,-,85,-,55.552178,2704,"$66,957,026 ","['Nov', '22']",Walt Disney Studios Motion Pictures,FALSE,11,85
